n_estimators,max_samples,max_features,contamination,val_ap,val_auc,val_recall_5pct
800,0.8,0.8,0.08,0.32196110162637476,0.8722904425389921,0.5443037974683544
800,0.8,0.8,0.05,0.32196110162637476,0.8722904425389921,0.5443037974683544
800,0.8,0.6,0.03,0.3211761471022306,0.8805927632062888,0.5443037974683544
800,0.8,0.6,0.02,0.3211761471022306,0.8805927632062888,0.5443037974683544
800,0.8,0.6,0.08,0.3211761471022306,0.8805927632062888,0.5443037974683544
800,0.8,0.6,0.05,0.3211761471022306,0.8805927632062888,0.5443037974683544
800,0.8,0.6,0.005,0.3211761471022306,0.8805927632062888,0.5443037974683544
800,0.8,0.6,0.01,0.3211761471022306,0.8805927632062888,0.5443037974683544
800,0.7,0.8,0.005,0.3209803057099274,0.8761918773130654,0.5443037974683544
800,0.7,0.8,0.01,0.3209803057099274,0.8761918773130654,0.5443037974683544
800,0.7,0.8,0.05,0.3209803057099274,0.8761918773130654,0.5443037974683544
800,0.7,0.8,0.08,0.3209803057099274,0.8761918773130654,0.5443037974683544
800,0.7,0.8,0.02,0.3209803057099274,0.8761918773130654,0.5443037974683544
800,0.7,0.8,0.03,0.3209803057099274,0.8761918773130654,0.5443037974683544
500,0.8,1.0,0.03,0.31959386098479914,0.871226649137463,0.5443037974683544
500,0.8,1.0,0.02,0.31959386098479914,0.871226649137463,0.5443037974683544
500,0.8,1.0,0.01,0.31959386098479914,0.871226649137463,0.5443037974683544
500,0.8,1.0,0.005,0.31959386098479914,0.871226649137463,0.5443037974683544
500,0.8,1.0,0.08,0.31959386098479914,0.871226649137463,0.5443037974683544
500,0.8,1.0,0.05,0.31959386098479914,0.871226649137463,0.5443037974683544
300,0.7,1.0,0.03,0.3192424570944519,0.8825071696536123,0.5569620253164557
300,0.7,1.0,0.02,0.3192424570944519,0.8825071696536123,0.5569620253164557
300,0.7,1.0,0.05,0.3192424570944519,0.8825071696536123,0.5569620253164557
300,0.7,1.0,0.08,0.3192424570944519,0.8825071696536123,0.5569620253164557
300,0.7,1.0,0.01,0.3192424570944519,0.8825071696536123,0.5569620253164557
300,0.7,1.0,0.005,0.3192424570944519,0.8825071696536123,0.5569620253164557
500,0.8,0.6,0.005,0.3190761626773896,0.8796671856397964,0.5443037974683544
500,0.8,0.6,0.01,0.3190761626773896,0.8796671856397964,0.5443037974683544
500,0.8,0.6,0.08,0.3190761626773896,0.8796671856397964,0.5443037974683544
500,0.8,0.6,0.05,0.3190761626773896,0.8796671856397964,0.5443037974683544
500,0.8,0.6,0.03,0.3190761626773896,0.8796671856397964,0.5443037974683544
500,0.8,0.6,0.02,0.3190761626773896,0.8796671856397964,0.5443037974683544
800,0.7,0.6,0.05,0.3186761092842475,0.8825137290491734,0.5569620253164557
800,0.7,0.6,0.08,0.3186761092842475,0.8825137290491734,0.5569620253164557
800,0.7,0.6,0.03,0.3186761092842475,0.8825137290491734,0.5569620253164557
800,0.7,0.6,0.02,0.3186761092842475,0.8825137290491734,0.5569620253164557
800,0.7,0.6,0.005,0.3186761092842475,0.8825137290491734,0.5569620253164557
800,0.7,0.6,0.01,0.3186761092842475,0.8825137290491734,0.5569620253164557
500,0.7,0.6,0.03,0.3178596801639588,0.8825205227088617,0.5569620253164557
500,0.7,0.6,0.02,0.3178596801639588,0.8825205227088617,0.5569620253164557
500,0.7,0.6,0.01,0.3178596801639588,0.8825205227088617,0.5569620253164557
500,0.7,0.6,0.005,0.3178596801639588,0.8825205227088617,0.5569620253164557
500,0.7,0.6,0.08,0.3178596801639588,0.8825205227088617,0.5569620253164557
500,0.7,0.6,0.05,0.3178596801639588,0.8825205227088617,0.5569620253164557
800,0.7,1.0,0.08,0.31779832457990886,0.8750306300346289,0.5443037974683544
800,0.7,1.0,0.05,0.31779832457990886,0.8750306300346289,0.5443037974683544
800,0.7,1.0,0.03,0.31779832457990886,0.8750306300346289,0.5443037974683544
800,0.7,1.0,0.02,0.31779832457990886,0.8750306300346289,0.5443037974683544
800,0.7,1.0,0.005,0.31779832457990886,0.8750306300346289,0.5443037974683544
800,0.7,1.0,0.01,0.31779832457990886,0.8750306300346289,0.5443037974683544
300,0.8,0.6,0.02,0.3155835862376649,0.8776759405587574,0.5443037974683544
300,0.8,0.6,0.03,0.3155835862376649,0.8776759405587574,0.5443037974683544
300,0.8,0.6,0.05,0.3155835862376649,0.8776759405587574,0.5443037974683544
300,0.8,0.6,0.08,0.3155835862376649,0.8776759405587574,0.5443037974683544
300,0.8,0.6,0.005,0.3155835862376649,0.8776759405587574,0.5443037974683544
300,0.8,0.6,0.01,0.3155835862376649,0.8776759405587574,0.5443037974683544
800,0.7,0.7,0.02,0.31534902402639176,0.8819974109128663,0.5569620253164557
800,0.7,0.7,0.03,0.31534902402639176,0.8819974109128663,0.5569620253164557
800,0.7,0.7,0.01,0.31534902402639176,0.8819974109128663,0.5569620253164557
800,0.7,0.7,0.005,0.31534902402639176,0.8819974109128663,0.5569620253164557
800,0.7,0.7,0.05,0.31534902402639176,0.8819974109128663,0.5569620253164557
800,0.7,0.7,0.08,0.31534902402639176,0.8819974109128663,0.5569620253164557
500,0.7,0.8,0.05,0.31390934849295243,0.8775492036659525,0.5569620253164557
500,0.7,0.8,0.08,0.31390934849295243,0.8775492036659525,0.5569620253164557
