split,is_fraud,anomaly_score,is_first_tx
holdout,0,0.2925664245198527,1
holdout,0,0.7925166683252065,1
holdout,0,0.956712110657777,1
holdout,0,0.4538760075629416,1
holdout,0,0.5176634490994129,1
holdout,0,0.894516867349985,0
holdout,0,0.039705443327694295,1
holdout,0,0.6419544233257041,1
holdout,0,0.213553587421634,1
holdout,0,0.15016419544233256,1
holdout,0,0.9763160513483928,1
holdout,0,0.5794606428500348,0
holdout,0,0.7376853418250572,0
holdout,0,0.890436859388994,0
holdout,0,0.037615683152552495,1
holdout,0,0.21454871131455866,1
holdout,0,0.09901482734600457,1
holdout,0,0.6718081401134441,0
holdout,0,0.48751119514379543,1
holdout,0,0.3840183102796298,0
holdout,0,0.7908249577072346,0
holdout,0,0.8929246691213056,0
holdout,0,0.40053736690217934,1
holdout,0,0.7012638073440143,0
holdout,0,0.48163996417553984,0
holdout,0,0.674992536570803,1
holdout,0,0.1179221813115733,1
holdout,0,0.9155139814906956,0
holdout,0,0.8898397850532391,0
holdout,0,0.6387700268683452,1
holdout,0,0.8348094337745049,1
holdout,0,0.38302318638670513,1
holdout,0,0.8642651010050751,0
holdout,0,0.4009354164593492,0
holdout,0,0.22967459448701363,1
holdout,0,0.6445417454473082,0
holdout,0,0.8398845656284207,0
holdout,0,0.8403821275748831,0
holdout,0,0.21285700069658672,1
holdout,0,0.02219126281222012,1
holdout,0,0.1173251069758185,1
holdout,0,0.6169768136132948,0
holdout,0,0.6251368295352772,0
holdout,0,0.6589710418947159,0
holdout,0,0.8269479550204001,1
holdout,0,0.7479351179221813,1
holdout,0,0.3945666235446313,0
holdout,0,0.17205692108667528,1
holdout,0,0.9031744452184297,0
holdout,0,0.6316051348392875,1
holdout,0,0.23644143695890138,0
holdout,0,0.8191859886555877,0
holdout,0,0.693103791422032,1
holdout,0,0.3852124589511394,1
holdout,0,0.06309085481142403,1
holdout,0,0.9481540451786248,0
holdout,0,0.3466016519056623,1
holdout,0,0.23773509801970347,1
holdout,0,0.012140511493680964,0
holdout,0,0.9418847646531994,0
holdout,0,0.03333665041297641,1
holdout,0,0.2690815006468305,0
holdout,0,0.35078117225594585,1
holdout,0,0.04577569907453478,1
holdout,0,0.017016618569011842,1
holdout,0,0.08926261319534282,1
holdout,0,0.23892924669121304,1
holdout,0,0.08737187779878595,0
holdout,0,0.2690815006468305,1
holdout,0,0.13115732908747138,1
holdout,0,0.47109165091053834,1
holdout,0,0.7243506816598666,1
holdout,0,0.4237237536073241,1
holdout,0,0.3752612200218927,1
holdout,0,0.8184894019305403,0
holdout,0,0.6212558463528709,1
holdout,0,0.5892128570006966,0
holdout,0,0.07005672206189671,1
holdout,0,0.891531495671211,0
holdout,0,0.694596477261419,0
holdout,0,0.5226390685640362,1
holdout,0,0.966762861976316,1
holdout,0,0.32261916608617774,1
holdout,0,0.9406906159816897,0
holdout,0,0.7566922081799184,0
holdout,0,0.15991640959299433,0
holdout,0,0.7212657975918002,0
holdout,0,0.1491690715494079,0
holdout,0,0.8789929346203602,0
holdout,0,0.6604637277341029,1
holdout,0,0.687332072843069,1
holdout,0,0.5502040003980495,1
holdout,0,0.0261717583839188,1
holdout,0,0.6638471489700468,1
holdout,0,0.38590904567618667,1
holdout,0,0.5339834809433774,1
holdout,0,0.3317743059010847,1
holdout,0,0.8103293860085581,0
holdout,0,0.10538362026072245,1
holdout,0,0.8980993133645139,0
holdout,0,0.16638471489700468,1
holdout,0,0.13573489899492486,1
holdout,0,0.4600457756990745,1
holdout,0,0.4619365110956314,1
holdout,0,0.09901482734600457,1
holdout,0,0.47736093143596375,0
holdout,0,0.39755199522340534,0
holdout,0,0.2264901980296547,0
holdout,0,0.9399940292566424,0
holdout,0,0.4611404119812917,1
holdout,0,0.5302020101502637,1
holdout,0,0.7043486914120808,1
holdout,0,0.6241417056423525,1
holdout,0,0.8296347895312967,0
holdout,0,0.012638073440143298,0
holdout,0,0.1371280724450194,1
holdout,0,0.5834411384217335,1
holdout,0,0.16897203701860883,0
holdout,0,0.8697382824161608,1
holdout,0,0.2445019404915912,1
holdout,0,0.39168076425514975,1
holdout,0,0.06776793710816997,0
holdout,0,0.1212060901582247,0
holdout,0,0.2884864165588616,0
holdout,0,0.9293462036023485,0
holdout,0,0.18797890337347,1
holdout,0,0.4217335058214748,1
holdout,0,0.893024181510598,0
holdout,0,0.08080406010548313,1
holdout,0,0.25007463429196936,0
holdout,0,0.6264304905960792,0
holdout,0,0.5575679172056921,0
holdout,0,0.8360035824460146,0
holdout,0,0.9148173947656483,0
holdout,0,0.4815404517862474,0
holdout,0,0.010249776097124092,1
holdout,0,0.708428699373072,1
holdout,0,0.681361329485521,0
holdout,0,0.09005871230968256,1
holdout,0,0.47626629515374663,1
holdout,0,0.017116130958304308,1
holdout,0,0.424121803164494,1
holdout,0,0.07204696984774604,1
holdout,0,0.1621056821574286,0
holdout,0,0.09702457956015524,1
holdout,0,0.8044581550403025,0
holdout,0,0.08737187779878595,0
holdout,0,0.8253557567917206,1
holdout,0,0.2490795103990447,1
holdout,0,0.7545029356154841,1
holdout,0,0.9711414071051846,0
holdout,0,0.09553189372076823,1
holdout,0,0.8309284505920987,1
holdout,0,0.806050353268982,0
holdout,0,0.5971738481440939,1
holdout,0,0.2229077520151259,1
holdout,0,0.4990546323017216,0
holdout,0,0.7045477161906657,1
holdout,0,0.6801671808140114,1
holdout,0,0.08747139018807841,1
holdout,0,0.7784854214349687,1
holdout,0,0.12737585829435766,1
holdout,0,0.25544830331376256,1
holdout,0,0.7821673798387899,0
holdout,0,0.19723355557766942,1
holdout,0,0.45885162702756493,0
holdout,0,0.5471191163299831,1
holdout,0,0.10448800875709026,1
holdout,0,0.8434670116429496,0
holdout,0,0.5345805552791323,1
holdout,0,0.5617474375559757,1
holdout,0,0.5130858791919594,1
holdout,0,0.341227982883869,1
holdout,0,0.8998905363717783,0
holdout,0,0.36521046870335355,1
holdout,0,0.5755796596676286,1
holdout,0,0.12578366006567818,0
holdout,0,0.39297442531595184,1
holdout,0,0.35685142800278635,1
holdout,0,0.48950144292964476,0
holdout,0,0.5387600756294159,0
holdout,0,0.5214449198925266,1
holdout,0,0.5040302517663449,0
holdout,0,0.9867648522241019,1
holdout,0,0.1467807742063887,0
holdout,0,0.13404318837695292,1
holdout,0,0.8112249975121902,0
holdout,0,0.1858891431983282,1
holdout,0,0.027863469001890736,1
holdout,0,0.42830132351477757,1
holdout,0,0.6414568613792417,1
holdout,0,0.6939994029256642,1
holdout,0,0.49616877301224005,1
holdout,0,0.47586824559657676,1
holdout,0,0.4451189173052045,1
holdout,0,0.08587919195939894,1
holdout,0,0.23057020599064584,0
holdout,0,0.08846651408100309,1
holdout,0,0.7539058612797294,0
holdout,0,0.8294357647527117,1
holdout,0,0.9492486814608418,0
holdout,0,0.04766643447109165,0
holdout,0,0.6607622649019803,1
holdout,0,0.07463429196935019,1
holdout,0,0.5363717782863967,0
holdout,0,0.7298238630709524,0
holdout,0,0.4339735297044482,1
holdout,0,0.6425514976614588,1
holdout,0,0.5555776694198428,1
holdout,0,0.5902079808936213,1
holdout,0,0.07543039108368992,1
holdout,0,0.1179221813115733,1
holdout,0,0.2081799183998408,1
holdout,0,0.16200616976813614,0
holdout,0,0.5115931933525724,1
holdout,0,0.06617573887949049,1
holdout,0,0.9735297044482037,0
holdout,0,0.32470892626131953,1
holdout,0,0.015225395561747438,1
holdout,0,0.14130759279530303,1
holdout,0,0.03273957607722162,0
holdout,0,0.18260523435167678,1
holdout,0,0.5605532888844661,1
holdout,0,0.2581351378246592,1
holdout,0,0.44163598367996815,0
holdout,0,0.5599562145487114,1
holdout,0,0.0264702955517962,1
holdout,0,0.30430888645636384,1
holdout,0,0.8027664444223306,0
holdout,0,0.08368991939496467,1
holdout,0,0.3954622350482635,1
holdout,0,0.3487909244700965,1
holdout,0,0.5945865260224898,0
holdout,0,0.8357050452781372,0
holdout,0,0.7806746939994029,0
holdout,0,0.8428699373071947,0
holdout,0,0.006269280525425415,1
holdout,0,0.9668623743656085,1
holdout,0,0.5344810428898398,1
holdout,0,0.8085381630012937,0
holdout,0,0.021793213255050254,0
holdout,0,0.9251666832520649,1
holdout,0,0.5345805552791323,1
holdout,0,0.8811822071847945,0
holdout,0,0.005771718578963081,0
holdout,0,0.6872325604537765,0
holdout,0,0.9297442531595184,1
holdout,0,0.5306000597074336,1
holdout,0,0.020101502637078317,1
holdout,0,0.9366106080206986,0
holdout,0,0.157926161807145,1
holdout,0,0.12558463528709324,1
holdout,0,0.8599860682654991,0
holdout,0,0.2523634192456961,0
holdout,0,0.9022788337147974,0
holdout,0,0.5846352870932431,0
holdout,0,0.08697382824161608,1
holdout,0,0.40720469698477463,0
holdout,0,0.20340332371380238,1
holdout,0,0.11394168573987462,1
holdout,0,0.3119713404318838,0
holdout,0,0.2198228679470594,0
holdout,0,0.3160513483928749,0
holdout,0,0.345905065180615,0
holdout,0,0.3674992536570803,0
holdout,0,0.34033237138023686,0
holdout,0,0.4415364712906757,1
holdout,0,0.7890337346999702,0
holdout,0,0.8774007363916808,0
holdout,0,0.21305602547517166,1
holdout,0,0.1656881281719574,1
holdout,0,0.6042392277838591,1
holdout,0,0.17205692108667528,1
holdout,0,0.8846651408100309,0
holdout,0,0.15902079808936212,1
holdout,0,0.944372574385511,0
holdout,0,0.5632401233953627,1
holdout,0,0.0420937406707135,1
holdout,0,0.813513782465917,1
holdout,0,0.47497263409294455,1
holdout,0,0.40013931734500946,0
holdout,0,0.847845556771818,1
holdout,0,0.35376654393471985,1
holdout,0,0.6559856702159419,1
holdout,0,0.2923673997412678,0
holdout,0,0.7166882276843467,1
holdout,0,0.2264901980296547,1
holdout,0,0.345905065180615,1
holdout,0,0.6610608020698577,1
holdout,0,0.8041596178724251,0
holdout,0,0.5795601552393272,1
holdout,0,0.27326102099711413,1
holdout,0,0.4846253358543139,0
holdout,0,0.07901283709821873,0
holdout,0,0.5320927455468206,0
holdout,0,0.8355060204995522,1
holdout,0,0.610608020698577,1
holdout,0,0.9226788735197532,0
holdout,0,0.7070355259229774,1
holdout,0,0.01671808140113444,0
holdout,0,0.7936113046074236,0
holdout,0,0.26987759976117026,1
holdout,0,0.21106577768932233,1
holdout,0,0.8568016718081402,0
holdout,0,0.3057020599064584,0
holdout,0,0.6336948950144293,1
holdout,0,0.972932630112449,0
holdout,0,0.6804657179818887,0
holdout,0,0.6531993233157528,1
holdout,0,0.9873619265598567,1
holdout,0,0.43267986864364616,1
holdout,0,0.6822569409891531,1
holdout,0,0.3040103492884864,1
holdout,0,0.6357846551895711,1
holdout,0,0.35834411384217335,0
holdout,0,0.3119713404318838,0
holdout,0,0.5315951836003583,1
holdout,1,0.9849736292168375,0
holdout,0,0.08169967160911533,1
holdout,0,0.4484028261518559,0
holdout,0,0.8479450691611106,0
holdout,0,0.5951836003582446,1
holdout,0,0.49676584734799484,1
holdout,0,0.2303711812120609,1
holdout,0,0.446711115533884,1
holdout,0,0.09831824062095731,1
holdout,0,0.5061200119414867,1
holdout,0,0.18967061399144194,1
holdout,0,0.44979599960195044,0
holdout,0,0.5162702756493184,1
holdout,0,0.1948452582346502,1
holdout,0,0.5605532888844661,0
holdout,0,0.2214150661757389,1
holdout,0,0.7739078515275152,0
holdout,0,0.30510498557070354,1
holdout,0,0.7417653497860484,1
holdout,0,0.24410389093442134,1
holdout,0,0.43387401731515574,1
holdout,0,0.15056224499950244,0
holdout,0,0.6442432082794308,0
holdout,0,0.4885063190367201,0
holdout,0,0.5655289083490894,1
holdout,0,0.5726938003781471,0
holdout,0,0.10478654592496765,1
holdout,0,0.20370186088167977,1
holdout,0,0.2297741068763061,1
holdout,0,0.7841576276246393,0
holdout,0,0.6409592994327794,0
holdout,0,0.15991640959299433,0
holdout,0,0.8844661160314459,0
holdout,0,0.3069957209672604,1
holdout,0,0.26987759976117026,0
holdout,0,0.4837297243506817,0
holdout,0,0.5466215543835208,1
holdout,0,0.26599661657876406,0
holdout,0,0.9148173947656483,0
holdout,0,0.2773410289581053,1
holdout,0,0.06945964772614191,0
holdout,0,0.4920887650512489,0
holdout,0,0.8025674196437457,0
holdout,0,0.7495273161508608,1
holdout,0,0.6806647427604737,1
holdout,0,0.8046571798188874,0
holdout,0,0.9316349885560752,0
holdout,0,0.4544730818986964,0
holdout,0,0.0929445715991641,0
holdout,0,0.5015424420340332,1
holdout,0,0.5849338242611205,1
holdout,0,0.6170763260025873,1
holdout,0,0.6414568613792417,1
holdout,0,0.14140710518459548,1
holdout,0,0.5348790924470097,1
holdout,0,0.654094934819385,1
holdout,0,0.07383819285501045,1
holdout,0,0.738282416160812,1
holdout,0,0.5387600756294159,0
holdout,0,0.8606826549905463,1
holdout,0,0.8932232062891831,1
holdout,0,0.16290178127176833,0
holdout,0,0.6805652303711812,0
holdout,0,0.5465220419942283,1
holdout,0,0.1497661458851627,0
holdout,0,0.9723355557766942,0
holdout,0,0.22758483431187182,1
holdout,0,0.8520250771221017,0
holdout,0,0.9830828938202806,0
holdout,0,0.8003781470793113,1
holdout,0,0.21604139715394566,1
holdout,0,0.9137227584834312,1
holdout,0,0.4694994526818589,1
holdout,0,0.3395362722658971,1
holdout,0,0.4409393969549209,0
holdout,0,0.30560254751716587,0
holdout,0,0.7867449497462434,0
holdout,0,0.20230868743158523,1
holdout,0,0.7878395860284605,1
holdout,0,0.9887551000099513,0
holdout,0,0.14041198129167082,1
holdout,0,0.1801174246193651,0
holdout,0,0.926460344312867,0
holdout,0,0.9477559956214548,0
holdout,0,0.5315951836003583,1
holdout,0,0.7731117524131754,1
holdout,0,0.960792118618768,0
holdout,0,0.729525325903075,1
holdout,0,0.4092944571599164,1
holdout,0,0.602945566723057,1
holdout,0,0.45497064384515873,1
holdout,0,0.2327594785550801,1
holdout,0,0.31226987759976116,1
holdout,0,0.2138521245895114,1
holdout,0,0.07861478754104886,0
holdout,0,0.18260523435167678,0
holdout,0,0.41944472086774803,1
holdout,0,0.11682754502935616,1
holdout,0,0.9576077221614091,0
holdout,0,0.042989352174345706,1
holdout,0,0.2342521643944671,0
holdout,0,0.26301124489999006,1
holdout,0,0.9826848442631108,1
holdout,0,0.18141108568016717,1
holdout,0,0.9813911832023087,0
holdout,0,0.7459448701363319,1
holdout,0,0.8916310080605035,1
holdout,0,0.430092546522042,1
holdout,0,0.7130062692805255,1
holdout,0,0.730818986963877,1
holdout,0,0.9082495770723455,0
holdout,0,0.7160911533485919,1
holdout,0,0.7863469001890735,0
holdout,0,0.44143695890138324,0
holdout,0,0.38352074833316746,1
holdout,0,0.29336252363419246,0
holdout,0,0.44790526420539356,1
holdout,0,0.3476962881878794,0
holdout,0,0.8095332868942183,1
holdout,0,0.10956314061100607,1
holdout,0,0.935217434570604,0
holdout,0,0.24828341128470494,0
holdout,0,0.8526221514578565,1
holdout,0,0.8712309682555478,1
holdout,0,0.26619564135734897,1
holdout,0,0.07383819285501045,1
holdout,0,0.7661458851627028,0
holdout,0,0.32560453776495174,1
holdout,0,0.25763757587819686,0
holdout,0,0.9412876903174445,0
holdout,0,0.09941287690317445,1
holdout,0,0.7732112648024679,0
holdout,0,0.40611006070255745,1
holdout,0,0.39864663150562246,1
holdout,0,0.3428201811125485,1
holdout,0,0.24728828739178027,1
holdout,0,0.24340730420937406,1
holdout,0,0.387899293462036,1
holdout,0,0.43238133147576874,1
holdout,0,0.5840382127574884,1
holdout,0,0.8067469399940292,0
holdout,0,0.03871031943476963,1
holdout,0,0.1555378644641258,1
holdout,0,0.7840581152353469,1
holdout,0,0.8916310080605035,1
holdout,0,0.47696288187879393,1
holdout,0,0.5587620658772017,1
holdout,0,0.891531495671211,1
holdout,0,0.03124689023783461,1
holdout,0,0.045676186685242315,1
holdout,0,0.061797193750621954,0
holdout,0,0.06289183003283909,1
holdout,0,0.6095133844163598,1
holdout,0,0.8252562444024281,0
holdout,0,0.8990944372574385,0
holdout,0,0.48800875709025776,1
holdout,0,0.5411483729724351,1
holdout,0,0.44123793412279827,1
holdout,0,0.8603841178226689,0
holdout,0,0.7771917603741666,0
holdout,0,0.9788038610807045,1
holdout,0,0.3139615882177331,1
holdout,0,0.7481341427007663,0
holdout,0,0.4495969748233655,0
holdout,0,0.8458553089859687,0
holdout,0,0.8607821673798388,0
holdout,0,0.9062593292864962,0
holdout,0,0.8275450293561548,0
holdout,0,0.705244302915713,1
holdout,0,0.0718479450691611,1
holdout,0,0.11682754502935616,1
holdout,0,0.7681361329485521,1
holdout,0,0.6196636481241915,1
holdout,0,0.3078913324708926,0
holdout,0,0.26539954224300927,1
holdout,0,0.3495870235844363,1
holdout,0,0.8251567320131357,0
holdout,0,0.053338640660762264,1
holdout,0,0.4090954323813315,1
holdout,0,0.13304806448402826,1
holdout,0,0.5332868942183302,1
holdout,0,0.48432679868643647,1
holdout,0,0.5691113543636183,1
holdout,0,0.9408896407602747,0
holdout,0,0.8315255249278535,1
holdout,0,0.8225694098915315,0
holdout,0,0.5043287889342223,1
holdout,0,0.31167280326400637,1
holdout,0,0.26719076525027363,1
holdout,0,0.318638670514479,1
holdout,0,0.521743457060404,1
holdout,0,0.2949547218628719,0
holdout,0,0.9522340531396158,0
holdout,0,0.7727137028560056,0
holdout,0,0.3527714200417952,1
holdout,0,0.7629614887053439,0
holdout,0,0.7419643745646333,1
holdout,0,0.5813513782465917,1
holdout,0,0.51149368096328,1
holdout,0,0.3806348890436859,1
holdout,0,0.5526918101303613,1
holdout,0,0.9453676982784357,0
holdout,0,0.5113941685739875,1
holdout,0,0.31963379440740375,0
holdout,0,0.873420240819982,1
holdout,0,0.9810926460344312,1
holdout,0,0.3020201015026371,1
holdout,0,0.4105881182207185,0
holdout,0,0.4034232261916609,1
holdout,0,0.5047268384913922,1
holdout,0,0.7313165489103394,0
holdout,0,0.5184595482137526,1
holdout,0,0.8724251169270574,0
holdout,0,0.5635386605632401,1
holdout,0,0.5416459349188975,1
holdout,0,0.2884864165588616,1
holdout,0,0.2968454572594288,1
holdout,0,0.04348691412080804,1
holdout,0,0.6482237038511295,1
holdout,0,0.500845855308986,1
holdout,0,0.8210767240521445,1
holdout,0,0.12827146979798984,1
holdout,0,0.18837695293063986,1
holdout,0,0.2516668325206488,1
holdout,0,0.9067568912329586,0
holdout,0,0.024380535376654393,1
holdout,0,0.5185590606030451,1
holdout,0,0.25395561747437556,0
holdout,0,0.19653696885262215,1
holdout,0,0.5382625136829535,1
holdout,0,0.8363021196138919,1
holdout,0,0.5132849039705444,1
holdout,0,0.5117922181311574,1
holdout,0,0.8851627027564932,0
holdout,0,0.460145288088367,1
holdout,0,0.6752910737386805,1
holdout,0,0.9938302318638671,1
holdout,0,0.14628321225992635,1
holdout,0,0.24320827943078913,1
holdout,0,0.9647726141904667,0
holdout,0,0.07990844860185094,1
holdout,0,0.5015424420340332,1
holdout,0,0.5539854711911633,1
holdout,0,0.4881082694795502,1
holdout,0,0.35804557667429593,1
holdout,0,0.8890436859388994,0
holdout,0,0.5162702756493184,0
holdout,0,0.7228579958204796,1
holdout,0,0.20340332371380238,1
holdout,0,0.5460244800477659,1
holdout,0,0.6735993631207086,1
holdout,0,0.5726938003781471,1
holdout,0,0.7850532391282715,0
holdout,0,0.7966961886754901,0
holdout,0,0.9643745646332968,0
holdout,0,0.3600358244601453,1
holdout,0,0.6724052144491989,1
holdout,0,0.9553189372076824,1
holdout,0,0.9493481938501344,0
holdout,0,0.2910737386804657,0
holdout,0,0.6650412976415564,0
holdout,0,0.9031744452184297,1
holdout,0,0.09772116628520251,1
holdout,0,0.15742859986068267,0
holdout,0,0.8783958602846055,0
holdout,0,0.7215643347596776,1
holdout,0,0.2625136829535277,1
holdout,0,0.38481440939396955,1
holdout,0,0.0829933326699174,0
